wsi_id,mean_superpixel_area,magnification,mpp_x,mpp_y,norm_mpp_x,norm_mpp_y
C3N-03486-26,342506.53006283974,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00568-26,400769.0258708738,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04379-28,481160.9703326293,20.0,0.5031,0.5031,0.25155,0.25155
C3N-02300-22,408578.7833181692,20.0,0.4942,0.4942,0.2471,0.2471
C3N-02284-30,444713.66625486914,20.0,0.4942,0.4942,0.2471,0.2471
C3L-00445-23,648870.3020801668,20.0,0.4942,0.4942,0.2471,0.2471
C3N-03072-21,365450.9487712108,20.0,0.4942,0.4942,0.2471,0.2471
C3N-04162-23,394188.7922994772,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04874-22,401728.55644081277,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04334-26,352096.728567612,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04367-26,374827.54755389265,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02624-27,443751.58419863024,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02627-27,352573.7993412116,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04378-26,197608.22425667953,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05221-27,403068.74543240306,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05422-28,298128.21467954724,20.0,0.5031,0.5031,0.25155,0.25155
C3L-05148-22,437663.1788804639,20.0,0.5031,0.5031,0.25155,0.25155
C3N-04609-26,468685.8636060724,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04861-22,416107.6149861553,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02660-24,405389.4431048416,20.0,0.4942,0.4942,0.2471,0.2471
C3L-05172-26,364157.688129459,20.0,0.5031,0.5031,0.25155,0.25155
C3L-04871-26,485092.1970743466,20.0,0.5031,0.5031,0.25155,0.25155
C3N-04155-26,286056.4053496028,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04868-21,499342.68043600704,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02552-22,455173.51122514857,20.0,0.4942,0.4942,0.2471,0.2471
C3N-00221-22,324041.3652165604,20.0,0.4942,0.4942,0.2471,0.2471
C3L-04889-26,492421.2539059837,20.0,0.5031,0.5031,0.25155,0.25155
C3L-02629-23,391587.360441933,20.0,0.4942,0.4942,0.2471,0.2471
C3L-02168-26,543954.3995141328,20.0,0.4942,0.4942,0.2471,0.2471
